Season,Date,HomeTeam,AwayTeam,Pick,Book,BestOdds,p_low,p_med,EV_low,Result,Profit
2024,2023-12-17,West Ham,Wolves,H,BW,2.2,0.7022003976558072,0.9626142989589513,0.544840874842776,H,1.2000000000000002
2024,2023-12-17,Arsenal,Brighton,H,IW,1.5,0.6908103940575288,0.9716884177934434,0.03621559108629313,H,0.5
2024,2023-12-22,Aston Villa,Sheffield United,H,BW,1.25,0.8793956868298208,0.9256619044307013,0.09924460853727601,D,-1.0
2024,2023-12-23,Liverpool,Arsenal,H,PSC,2.52,0.6113906588073733,0.835982983056392,0.5407044601945807,D,-1.0
2024,2023-12-26,Bournemouth,Fulham,H,PS,2.22,0.676264973887882,0.8395333754016198,0.5013082420310981,H,1.2200000000000002
2024,2023-12-28,Arsenal,West Ham,H,PS,1.36,0.9064985090874054,0.98,0.23283797235887138,A,-1.0
2024,2023-12-28,Brighton,Tottenham,A,PSC,2.71,0.394051994922306,0.9516959600301935,0.06788090623944942,H,-1.0
2024,2023-12-30,Aston Villa,Burnley,H,IWC,1.43,0.8227403852456463,0.9783781367845811,0.17651875090127422,H,0.42999999999999994
2024,2023-12-30,Luton,Chelsea,A,IWC,1.63,0.7125272314754106,0.9326863463449159,0.16141938730491923,A,0.6299999999999999
2024,2023-12-30,Wolves,Everton,H,PSC,2.97,0.37551574580173636,0.7033349177613968,0.11528176503115706,H,1.9700000000000002
2024,2023-12-31,Fulham,Arsenal,A,PSC,1.61,0.7444233851418894,0.9405414878645626,0.19852165007844214,H,-1.0
2024,2024-01-01,Liverpool,Newcastle,H,IW,1.47,0.8750102768713439,0.953654806450716,0.2862651070008755,H,0.47
2024,2024-01-02,West Ham,Brighton,H,PSC,3.19,0.8866699497257644,0.9714787362260053,1.8284771396251882,D,-1.0
2024,2024-01-14,Everton,Aston Villa,H,PS,2.81,0.4512883505754946,0.7005657170970483,0.26812026511713993,D,-1.0
2024,2024-01-20,Brentford,Nott'm Forest,H,BW,1.93,0.9075362800331666,0.98,0.7515450204640113,H,0.9299999999999999
2024,2024-01-20,Arsenal,Crystal Palace,H,B365,1.3,0.8698342726734661,0.98,0.13078455447550597,H,0.30000000000000004
2024,2024-01-30,Crystal Palace,Sheffield United,A,B365,6.5,0.3071509800792243,0.4867187096799108,0.996481370514958,H,-1.0
2024,2024-02-01,Wolves,Man United,H,PSC,3.01,0.3571978217708566,0.7298816260709478,0.07516544353027843,A,-1.0
2024,2024-02-03,Sheffield United,Aston Villa,A,PS,1.65,0.8259164628140383,0.98,0.36276216364316305,A,0.6499999999999999
2024,2024-02-04,Bournemouth,Nott'm Forest,H,PS,1.71,0.6148298950098379,0.9392499850317018,0.05135912046682267,D,-1.0
2024,2024-02-10,Nott'm Forest,Newcastle,H,PSC,3.32,0.35750276833830164,0.6976146089379694,0.18690919088316127,A,-1.0
2024,2024-02-12,Crystal Palace,Chelsea,H,PSC,5.04,0.292504239701024,0.8204362680537363,0.47422136809316107,A,-1.0
2024,2024-02-17,Tottenham,Wolves,H,BW,1.57,0.7317625382366046,0.9020852512194008,0.14886718503146934,A,-1.0
2024,2024-02-18,Sheffield United,Brighton,A,PSC,1.68,0.6479779853430567,0.9490967524308002,0.0886030153763353,A,0.6799999999999999
2024,2024-02-24,Bournemouth,Man City,A,BWC,1.46,0.9243427792230217,0.98,0.3495404576656116,A,0.45999999999999996
2024,2024-02-24,Arsenal,Newcastle,H,PS,1.4,0.8089299026066777,0.9564992211462088,0.13250186364934868,H,0.3999999999999999
2024,2024-03-02,Nott'm Forest,Liverpool,A,WHC,1.62,0.9493093233224865,0.98,0.5378811037824283,A,0.6200000000000001
2024,2024-03-02,Luton,Aston Villa,A,BW,1.77,0.6470828790027174,0.9236961140437517,0.1453366958348099,A,0.77
2024,2024-03-03,Man City,Man United,D,PSC,7.2,0.18414165099138047,0.7448463269754153,0.3258198871379394,H,-1.0
2024,2024-03-03,Burnley,Bournemouth,H,PSC,3.8,0.3210697531575966,0.8172881401053097,0.2200650619988671,A,-1.0
2024,2024-03-09,Crystal Palace,Luton,H,PSC,1.92,0.5974295062944734,0.8253277705290133,0.14706465208538888,D,-1.0
2024,2024-03-09,Bournemouth,Sheffield United,H,BW,1.35,0.840427711352048,0.9746940072804974,0.13457741032526482,D,-1.0
2024,2024-03-09,Arsenal,Brentford,H,BW,1.23,0.9133788200101919,0.9735079194455428,0.12345594861253595,H,0.22999999999999998
2024,2024-03-17,West Ham,Aston Villa,H,PS,2.66,0.436272861970897,0.7145798225836982,0.16048581284258612,D,-1.0
2024,2024-03-30,Newcastle,West Ham,H,BW,1.85,0.6800700626544951,0.8304216382495335,0.25812961591081596,H,0.8500000000000001
2024,2024-04-02,Bournemouth,Crystal Palace,H,PS,2.02,0.5835867139275969,0.8637478240695493,0.17884516213374568,H,1.02
2024,2024-04-03,Brentford,Brighton,H,PSC,2.57,0.5620290256940418,0.8332298014840669,0.4444145960336874,D,-1.0
2024,2024-04-03,Arsenal,Luton,H,B365C,1.14,0.9470516568593541,0.98,0.07963888881966352,H,0.1399999999999999
2024,2024-04-04,Liverpool,Sheffield United,H,B365,1.09,0.9470516568593541,0.98,0.03228630597669602,H,0.09000000000000008
2024,2024-04-06,Brighton,Arsenal,A,PS,1.65,0.8941851731119042,0.98,0.47540553563464183,A,0.6499999999999999
2024,2024-04-07,Man United,Liverpool,A,BW,1.63,0.9227631472134216,0.98,0.5041039299578771,D,-1.0
2024,2024-04-07,Tottenham,Nott'm Forest,H,B365C,1.45,0.8541125434792555,0.9723409784423711,0.2384631880449204,H,0.44999999999999996
2024,2024-04-07,Sheffield United,Chelsea,A,B365C,1.44,0.8442221340018624,0.98,0.21567987296268187,D,-1.0
2024,2024-04-13,Man City,Luton,H,BW,1.11,0.98,0.98,0.0878000000000001,H,0.1100000000000001
2024,2024-04-14,Liverpool,Crystal Palace,H,B365,1.22,0.9708926292229143,0.98,0.18448900765195542,A,-1.0
2024,2024-04-14,Arsenal,Aston Villa,H,B365,1.29,0.8280065397607195,0.9167590546455926,0.06812843629132814,A,-1.0
2024,2024-04-23,Arsenal,Chelsea,H,WH,1.5,0.8620385008195592,0.9682899136648848,0.29305775122933886,H,0.5
2024,2024-04-24,Man United,Sheffield United,D,B365,6.5,0.7893130328147637,0.9693567736896679,4.130534713295964,H,-1.0
2024,2024-04-24,Everton,Liverpool,A,BW,1.43,0.7889178625026918,0.9712935873356984,0.1281525433788493,H,-1.0
2024,2024-04-25,Brighton,Man City,A,PS,1.45,0.8459710455195706,0.9770252087367711,0.22665801600337732,A,0.44999999999999996
2024,2024-04-27,West Ham,Liverpool,A,WHC,1.57,0.8662730777416459,0.9411783005294609,0.36004873205438415,D,-1.0
2024,2024-04-28,Nott'm Forest,Man City,A,BW,1.31,0.9057776126668616,0.9688467413714725,0.1865686725935889,A,0.31000000000000005
2024,2024-04-28,Tottenham,Arsenal,H,VCC,4.6,0.24577071958399624,0.5226187335240613,0.1305453100863827,A,-1.0
2024,2024-05-04,Man City,Wolves,H,BW,1.11,0.952044260729359,0.98,0.05676912940958867,H,0.1100000000000001
