Season,Date,HomeTeam,AwayTeam,Pick,Book,BestOdds,p_low,p_med,EV_low,Result,Profit
2023,2023-04-23,Bournemouth,West Ham,A,PS,2.68,0.46910943254573007,0.8743902465089162,0.25721327922255655,A,1.6800000000000002
2023,2023-04-25,Aston Villa,Fulham,H,BW,1.8,0.6579350493617158,0.939754721060482,0.18428308885108846,H,0.8
2023,2023-04-26,Man City,Arsenal,H,PSC,1.68,0.90152313340258,0.9776968813010956,0.5145588641163343,H,0.6799999999999999
2023,2023-04-26,Chelsea,Brentford,H,PSC,1.88,0.7130215448945688,0.9149652482849681,0.34048050440178934,A,-1.0
2023,2023-04-27,Everton,Newcastle,D,PS,3.83,0.5564814611876112,0.8022588570411662,1.1313239963485509,A,-1.0
2023,2023-04-29,Crystal Palace,West Ham,H,PS,2.73,0.48667226019445703,0.8987778339549757,0.32861527033086757,H,1.73
2023,2023-04-29,Brentford,Nott'm Forest,H,PSC,1.77,0.7421309569494013,0.9224031952495981,0.3135717938004403,H,0.77
2023,2023-05-03,Man City,West Ham,H,BW,1.21,0.944837993798181,0.9794253188583583,0.14325397249579908,H,0.20999999999999996
2023,2023-05-04,Brighton,Man United,D,PSC,3.86,0.39618596594011246,0.7406955775904149,0.529277828528834,H,-1.0
2023,2023-05-06,Bournemouth,Chelsea,A,IW,2.2,0.6706854827132239,0.8845337038157298,0.4755080619690928,A,1.2000000000000002
2023,2023-05-06,Liverpool,Brentford,H,PS,1.49,0.7404493789729139,0.9384233777490274,0.1032695746696417,H,0.49
2023,2023-05-08,Nott'm Forest,Southampton,A,PSC,3.93,0.5760908253717466,0.8494437335965993,1.2640369437109644,H,-1.0
2023,2023-05-13,Chelsea,Nott'm Forest,H,B365C,1.57,0.8992239494408221,0.98,0.4117816006220907,D,-1.0
2023,2023-05-13,Crystal Palace,Bournemouth,H,IW,1.9,0.6237240458367255,0.7323153810690147,0.18507568708977828,H,0.8999999999999999
2023,2023-05-13,Man United,Wolves,H,IWC,1.4,0.8130604544908061,0.8994686751882518,0.1382846362871284,H,0.3999999999999999
2023,2023-05-14,Arsenal,Brighton,H,PS,1.78,0.8454137921869175,0.9644197791087743,0.5048365500927132,A,-1.0
2023,2023-05-21,West Ham,Leeds,H,PSC,2.74,0.42190639629771,0.7657661003806279,0.15602352585572543,H,1.7400000000000002
2023,2023-05-25,Man United,Chelsea,H,IW,1.7,0.7181697564253836,0.9687771213427873,0.2208885859231522,H,0.7
