season,bets,profit,roi
2020,39,2.04,0.05230769230769231
2021,55,9.420000000000002,0.1712727272727273
2022,61,-5.29,-0.08672131147540983
2023,60,-7.2299999999999995,-0.1205
2024,63,-9.939999999999998,-0.15777777777777774
