Season,Date,HomeTeam,AwayTeam,Pick,Book,BestOdds,p_low,p_med,EV_low,Result,Profit
2021,2021-01-12,Sheffield United,Newcastle,H,PS,2.53,0.8286683271648967,0.9746029559566988,1.0965308677271883,H,1.5299999999999998
2021,2021-01-14,Arsenal,Crystal Palace,H,PSC,1.74,0.7903686192428312,0.9690045640011938,0.37524139748252616,D,-1.0
2021,2021-01-17,Sheffield United,Tottenham,A,B365C,1.83,0.6765883765173538,0.9337903143205123,0.23815672902675744,A,0.8300000000000001
2021,2021-01-18,Arsenal,Newcastle,H,BW,1.45,0.7175930137046758,0.9578361738623815,0.04050986987177985,H,0.44999999999999996
2021,2021-01-23,Aston Villa,Newcastle,H,IWC,1.53,0.8567504050796433,0.9476470183947502,0.3108281197718543,H,0.53
2021,2021-01-26,Newcastle,Leeds,A,PS,1.95,0.7927988865287688,0.98,0.5459578287310991,A,0.95
2021,2021-01-30,Everton,Newcastle,H,PS,1.61,0.8787292198458956,0.963595253256296,0.41475404395189197,A,-1.0
2021,2021-01-31,West Ham,Liverpool,A,PSC,2.14,0.8446047387507677,0.9493109800523284,0.8074541409266429,A,1.1400000000000001
2021,2021-01-31,Leicester,Leeds,H,PSC,1.87,0.6131428987991195,0.8679262035879355,0.14657722075435364,A,-1.0
2021,2021-02-02,Sheffield United,West Brom,D,WHC,3.4,0.35800853712484626,0.7311221273128794,0.21722902622447715,H,-1.0
2021,2021-02-03,Burnley,Man City,D,B365C,7.5,0.2712437586408618,0.6501842430492218,1.0343281898064633,A,-1.0
2021,2021-02-03,Leeds,Everton,A,PS,2.82,0.5334238502265686,0.8297846014951318,0.5042552576389232,A,1.8199999999999998
2021,2021-02-06,Fulham,West Ham,A,PS,2.13,0.6714482946024535,0.9700870118587088,0.4301848675032258,D,-1.0
2021,2021-02-13,Leicester,Liverpool,A,PS,2.2,0.6881406423884243,0.9560035780318151,0.5139094132545337,H,-1.0
2021,2021-02-13,Man City,Tottenham,H,IWC,1.37,0.8569155360207694,0.98,0.1739742843484542,H,0.3700000000000001
2021,2021-02-20,Fulham,Sheffield United,A,PSC,4.45,0.2630603134465083,0.5473499253128026,0.17061839483696217,H,-1.0
2021,2021-02-21,Arsenal,Man City,A,BW,1.55,0.7918117565239249,0.9506584969380278,0.2273082226120835,A,0.55
2021,2021-02-27,Leeds,Aston Villa,A,PSC,3.59,0.6120753046104691,0.8591551239733959,1.1973503435515842,A,2.59
2021,2021-02-27,West Brom,Brighton,H,VCC,4.75,0.4092649421396277,0.7371520858076718,0.9440084751632316,H,3.75
2021,2021-02-28,Tottenham,Burnley,A,B365C,7.5,0.23645471437438553,0.5836519934164458,0.7734103578078915,H,-1.0
2021,2021-02-28,Leicester,Arsenal,H,PS,2.61,0.48998730424574005,0.8097800463190511,0.2788668640813814,A,-1.0
2021,2021-03-02,Man City,Wolves,H,IW,1.25,0.8594580296999422,0.9238852039287728,0.07432253712492787,H,0.25
2021,2021-03-04,West Brom,Everton,H,BW,4.5,0.6661854494416695,0.8101713175717444,1.9978345224875125,A,-1.0
2021,2021-03-04,Liverpool,Chelsea,A,IWC,3.4,0.3382853194331096,0.5760853543077751,0.15017008607257254,A,2.4
2021,2021-03-06,Sheffield United,Southampton,H,B365C,3.8,0.47582110671927114,0.8308175300774996,0.8081202055332302,A,-1.0
2021,2021-03-07,Man City,Man United,H,PS,1.52,0.7463231406896523,0.9207947577909712,0.13441117384827161,A,-1.0
2021,2021-03-08,West Ham,Leeds,A,PS,3.55,0.678817806186092,0.938492688747095,1.4098032119606265,H,-1.0
2021,2021-04-04,Southampton,Burnley,H,PS,2.11,0.6672179042287083,0.888485626125904,0.40782977792257435,H,1.1099999999999999
2021,2021-04-04,Newcastle,Tottenham,A,IWC,1.7,0.6598497464327957,0.9480919599117901,0.12174456893575258,D,-1.0
2021,2021-04-10,Liverpool,Aston Villa,A,PSC,7.53,0.40452213098033646,0.6310808048069345,2.0460516462819336,H,-1.0
2021,2021-04-10,Man City,Leeds,H,BWC,1.4,0.905020877440189,0.9523556618766538,0.26702922841626453,A,-1.0
2021,2021-04-10,Crystal Palace,Chelsea,A,BW,1.55,0.7179108497999921,0.8865395219210129,0.11276181718998779,A,0.55
2021,2021-04-11,Sheffield United,Arsenal,A,PSC,1.67,0.9029084698689092,0.9676454536279511,0.5078571446810782,A,0.6699999999999999
2021,2021-04-11,Tottenham,Man United,D,PSC,3.6,0.3462144541746751,0.6640664435829456,0.24637203502883054,A,-1.0
2021,2021-04-11,West Ham,Leicester,D,PS,3.47,0.33326917986977334,0.7455199840826293,0.15644405414811358,H,-1.0
2021,2021-04-17,Wolves,Sheffield United,D,BW,3.6,0.3882570635327255,0.7317577840543901,0.3977254287178118,H,-1.0
2021,2021-04-17,Newcastle,West Ham,D,B365,3.5,0.3625906001126035,0.8018878022884212,0.2690671003941123,H,-1.0
2021,2021-04-18,Arsenal,Fulham,H,PSC,1.9,0.5528534846776789,0.7043698962475334,0.050421620887589835,D,-1.0
2021,2021-04-21,Tottenham,Southampton,H,BWC,1.87,0.5623962201638993,0.8701294846905218,0.051680931706491906,H,0.8700000000000001
2021,2021-04-24,West Ham,Chelsea,D,PSC,3.97,0.40638555602428433,0.7443112696324714,0.6133506574164089,A,-1.0
2021,2021-04-25,Leeds,Man United,D,B365,4.2,0.27251599165372803,0.6163379719263146,0.1445671649456577,D,3.2
2021,2021-05-01,Everton,Aston Villa,A,IW,4.2,0.6788226998915776,0.9173639067457496,1.8510553395446263,A,3.2
2021,2021-05-08,Sheffield United,Crystal Palace,A,VC,2.6,0.39857852495783536,0.60000000913883,0.036304164890371915,A,1.6
2021,2021-05-09,Wolves,Brighton,D,PS,3.46,0.4470674407123503,0.659262930648211,0.5468533448647319,H,-1.0
2021,2021-05-09,Arsenal,West Brom,A,PS,7.6,0.19145537864606083,0.312864322414587,0.4550608777100622,H,-1.0
2021,2021-05-11,Man United,Leicester,A,WH,3.0,0.6458290256584547,0.7799077888323815,0.937487076975364,A,2.0
2021,2021-05-14,Newcastle,Man City,D,B365,6.0,0.4248275934840696,0.8747963735547037,1.548965560904418,A,-1.0
2021,2021-05-16,Crystal Palace,Aston Villa,A,VC,2.38,0.6263422871776935,0.7205104491676189,0.4906946434829105,H,-1.0
2021,2021-05-16,Tottenham,Wolves,H,PS,1.56,0.7611992942729023,0.9056572895526495,0.18747089906572767,H,0.56
2021,2021-05-19,Newcastle,Sheffield United,H,VCC,1.87,0.7283954113463574,0.8450432473909484,0.3620994192176885,H,0.8700000000000001
2021,2021-05-19,Crystal Palace,Arsenal,A,PSC,1.63,0.7352459994621026,0.8818879807466173,0.19845097912322718,A,0.6299999999999999
2021,2021-05-19,Tottenham,Aston Villa,H,PSC,1.64,0.6596405900295145,0.8843542162077447,0.08181056764840378,A,-1.0
2021,2021-05-23,Fulham,Newcastle,A,PS,3.41,0.6812824577899368,0.8722340081221623,1.3231731810636846,A,2.41
2021,2021-05-23,Wolves,Man United,A,VCC,3.4,0.4438796788921783,0.6376401561668634,0.5091909082334061,A,2.4
2021,2021-05-23,Liverpool,Crystal Palace,H,PSC,1.19,0.8702895458427924,0.9397668752761152,0.035644559552922894,H,0.18999999999999995
