Season,Date,HomeTeam,AwayTeam,Pick,Book,BestOdds,p_low,p_med,EV_low,Result,Profit
2022,2021-12-15,Crystal Palace,Southampton,D,PSC,3.49,0.49902900901482083,0.7352523037616379,0.7416112414617249,D,2.49
2022,2021-12-19,Newcastle,Man City,A,BW,1.19,0.95104122511293,0.98,0.13173905788438667,A,0.18999999999999995
2022,2021-12-26,Brighton,Brentford,D,BW,3.5,0.662759768069263,0.8425548049991635,1.3196591882424205,H,-1.0
2022,2021-12-26,Aston Villa,Chelsea,A,IWC,1.73,0.8533577963510508,0.9657673828087305,0.4763089876873179,A,0.73
2022,2022-01-01,Crystal Palace,West Ham,D,BW,3.5,0.37185651601732633,0.8106757325127697,0.30149780606064214,A,-1.0
2022,2022-01-01,Arsenal,Man City,D,IW,4.8,0.23234549438307173,0.8576274432035091,0.1152583730387442,A,-1.0
2022,2022-01-02,Leeds,Burnley,D,IW,3.6,0.7745291905024144,0.9242703201368395,1.788305085808692,H,-1.0
2022,2022-01-02,Chelsea,Liverpool,A,PSC,2.72,0.4714570495326469,0.6736445678382136,0.28236317472879957,D,-1.0
2022,2022-01-12,West Ham,Norwich,H,IWC,1.45,0.9187947954561628,0.9747953034268819,0.33225245341143617,H,0.44999999999999996
2022,2022-01-18,Brighton,Chelsea,A,BW,1.78,0.8681695404006531,0.9627382208871422,0.5453417819131625,D,-1.0
2022,2022-01-21,Watford,Norwich,D,BW,3.6,0.5569718020877741,0.8549722395148789,1.005098487515987,A,-1.0
2022,2022-01-22,Leeds,Newcastle,D,PSC,4.06,0.30161012327493425,0.7974024711514375,0.22453710049623288,A,-1.0
2022,2022-01-23,Leicester,Brighton,D,IWC,3.45,0.5637224302745709,0.7022646329094293,0.9448423844472698,D,2.45
2022,2022-02-05,Burnley,Watford,H,PSC,2.22,0.6221725369384773,0.8889202327219061,0.3812230320034198,D,-1.0
2022,2022-02-08,West Ham,Watford,D,PS,4.42,0.7187905321683451,0.927119378220724,2.1770541521840854,H,-1.0
2022,2022-02-08,Burnley,Man United,A,IW,1.63,0.7235582957670645,0.8921839219008112,0.17940002210031514,D,-1.0
2022,2022-02-09,Norwich,Crystal Palace,A,PSC,2.31,0.48325518473047907,0.7966797567449916,0.11631947672740672,D,-1.0
2022,2022-02-12,Man United,Southampton,H,IW,1.65,0.7095638080837656,0.9095937636629428,0.17078028333821327,D,-1.0
2022,2022-02-12,Brentford,Crystal Palace,A,B365,3.0,0.3823086617464663,0.8554889432376661,0.14692598523939893,D,-1.0
2022,2022-02-20,Wolves,Leicester,H,PS,2.34,0.642886817554532,0.8494927829550241,0.5043551530776049,H,1.3399999999999999
2022,2022-02-26,Everton,Man City,A,BW,1.31,0.8111583530086849,0.9761763368690578,0.06261744244137724,A,0.31000000000000005
2022,2022-02-26,Brighton,Aston Villa,H,IW,2.3,0.459179200185619,0.9389500555159367,0.05611216042692346,A,-1.0
2022,2022-03-05,Newcastle,Brighton,A,VCC,3.0,0.5001217193156864,0.8801322588762778,0.5003651579470592,H,-1.0
2022,2022-03-05,Wolves,Crystal Palace,H,PS,2.43,0.5415183755736159,0.7749870659714826,0.3158896526438868,A,-1.0
2022,2022-03-06,Man City,Man United,H,IWC,1.45,0.7209537038718162,0.9152676542640633,0.045382870614133486,H,0.44999999999999996
2022,2022-03-10,Wolves,Watford,D,B365,3.6,0.49700868143850574,0.818444600448897,0.7892312531786208,H,-1.0
2022,2022-03-10,Norwich,Chelsea,A,IWC,1.37,0.941434350086103,0.98,0.2897650596179613,A,0.3700000000000001
2022,2022-03-10,Leeds,Aston Villa,D,PS,3.64,0.3357983686509346,0.573492528670133,0.22230606188940194,A,-1.0
2022,2022-03-12,Man United,Tottenham,H,WHC,2.4,0.771582393081835,0.946781922071001,0.8517977433964039,H,1.4
2022,2022-03-13,Everton,Wolves,A,VCC,3.7,0.3918528536038765,0.7613356128361909,0.4498555583343431,A,2.7
2022,2022-03-13,Arsenal,Leicester,H,PS,1.54,0.7623747006795308,0.9076828356317186,0.1740570390464775,H,0.54
2022,2022-03-16,Brighton,Tottenham,A,PS,2.33,0.5267380318429168,0.7700306015050433,0.22729961419399625,A,1.33
2022,2022-03-20,Leicester,Brentford,H,PS,2.25,0.5056370269846915,0.8612108619182306,0.13768331071555595,H,1.25
2022,2022-04-02,Brighton,Norwich,H,IWC,1.55,0.9481548799556523,0.98,0.469640063931261,D,-1.0
2022,2022-04-02,Man United,Leicester,H,IWC,1.63,0.8408691979978821,0.9576866356945255,0.3706167927365476,D,-1.0
2022,2022-04-02,Burnley,Man City,A,BW,1.23,0.9151148944232417,0.98,0.12559132014058716,A,0.22999999999999998
2022,2022-04-09,Everton,Man United,A,PSC,1.92,0.913660230841063,0.9638836136710776,0.7542276432148409,H,-1.0
2022,2022-04-09,Aston Villa,Tottenham,D,BWC,3.6,0.441472163268348,0.6519762677324239,0.5892997877660529,A,-1.0
2022,2022-04-09,Watford,Leeds,D,PS,3.6,0.293231908900869,0.6711784182550613,0.055634872043128336,A,-1.0
2022,2022-04-17,Newcastle,Leicester,H,IW,2.25,0.632761683575807,0.8278271527567598,0.4237137880455657,H,1.25
2022,2022-04-17,West Ham,Burnley,H,IWC,1.83,0.6723385491322406,0.8667677077433951,0.2303795449120003,D,-1.0
2022,2022-04-20,Newcastle,Crystal Palace,H,PS,2.4,0.934333335473445,0.9716196792940157,1.2424000051362678,H,1.4
2022,2022-04-23,Arsenal,Man United,H,PS,2.13,0.612201696306689,0.8103962764138295,0.30398961313324735,H,1.13
2022,2022-04-24,Chelsea,West Ham,H,BW,1.53,0.8373009757827188,0.9680704212327546,0.2810704929475598,H,0.53
2022,2022-04-24,Liverpool,Everton,H,PSC,1.21,0.9785177807352919,0.98,0.1840065146897032,H,0.20999999999999996
2022,2022-04-25,Crystal Palace,Leeds,H,PSC,2.44,0.6503178569609755,0.8733296066897919,0.5867755709847804,D,-1.0
2022,2022-04-30,Southampton,Crystal Palace,H,PSC,2.53,0.574841645698059,0.8618279142608177,0.45434936361608913,A,-1.0
2022,2022-04-30,Aston Villa,Norwich,H,BWC,1.43,0.8747111525411657,0.9746594775915766,0.2508369481338668,H,0.42999999999999994
2022,2022-05-07,Brentford,Southampton,H,IW,2.25,0.7119984513325999,0.9418578829780953,0.6019965154983498,H,1.25
2022,2022-05-08,Norwich,West Ham,H,PSC,4.94,0.29449381194419705,0.5788605973620843,0.4547994310043335,A,-1.0
2022,2022-05-08,Arsenal,Leeds,H,PSC,1.54,0.91986496291265,0.9734361119532309,0.416592042885481,H,0.54
2022,2022-05-08,Man City,Newcastle,H,IW,1.2,0.9246715335543896,0.98,0.10960584026526754,H,0.19999999999999996
2022,2022-05-15,Everton,Brentford,D,PSC,3.64,0.5706427576345782,0.7862225879654573,1.0771396377898648,A,-1.0
2022,2022-05-15,Wolves,Norwich,H,PSC,1.57,0.8339422298565089,0.9625721712495661,0.30928930087471906,D,-1.0
2022,2022-05-15,Aston Villa,Crystal Palace,D,PSC,3.63,0.30825512268709143,0.675619759958989,0.11896609535414182,D,2.63
2022,2022-05-19,Chelsea,Leicester,H,BWC,1.44,0.888612190849549,0.98,0.2796015548233506,D,-1.0
2022,2022-05-22,Norwich,Tottenham,A,PSC,1.34,0.9291890805975441,0.98,0.24511336800070915,A,0.3400000000000001
2022,2022-05-22,Burnley,Newcastle,H,PSC,2.55,0.48495373997804453,0.8188822826179117,0.23663203694401336,A,-1.0
2022,2022-05-22,Chelsea,Watford,H,IW,1.22,0.9568629416345307,0.98,0.16737278879412743,H,0.21999999999999997
2022,2022-05-22,Man City,Aston Villa,H,B365C,1.18,0.9757054995555521,0.98,0.15133248947555145,H,0.17999999999999994
2022,2022-05-22,Liverpool,Wolves,H,IW,1.17,0.891497309729019,0.9665528273675238,0.04305185238295217,H,0.16999999999999993
